Common Name,Scientific Name,Month observed at,Identification Agreements,Comments,Internal Positional Accuracy,Public Positional Accuracy,Quality Grade,Geoprivacy,Latitude,Longitude
Variable Coralsnake,Micrurus diastema,February,11,0,323,323,research,open,-89.6009517063,21.0341046697
Central American Indigo Snake,Drymarchon melanurus,February,4,1,7946,7946,research,open,-89.5245794579,21.0696452492
Yucatán Blunt-headed Tree Snake,Imantodes tenuissimus,February,6,0,369,30472,research,open,-89.5771053457,20.4729943279
,Conophis lineatus concolor,February,5,0,?,? ,research,open,-89.6532639722,21.0429789722
Faded Black-striped Snake,Coniophanes schmidti,February,7,0,15,15,research,open,-89.646045865,21.0301796711
Peninsula Stripeless Snake,Coniophanes meridanus,February,7,0,2,2,research,open,-89.6173414034,20.9088145532
Central American Boa,Boa imperator,February,7,0,1412,1412,research,open,-89.628519083,21.0917460966
Blood Snake,Stenorrhina freminvillei,February,4,0,48,48,research,open,-89.59739667,21.1204805006
Central American Boa,Boa imperator,February,7,0,488,30490,research,open,-89.4855693942,20.2349577034
Central American Boa,Boa imperator,February,6,0,82,30472,research,open,-89.4872435534,20.4298436935
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,February,9,0,1677,30453,research,obscured,-89.1268803063,20.6377363038
Central American Milksnake,Lampropeltis abnorma,January,7,0,12519,12519,research,open,-89.2437494919,19.9097575315
Blood Snake,Stenorrhina freminvillei,February,4,0,13,13,research,open,-89.6803158894,20.9688251781
Central American Milksnake,Lampropeltis abnorma,February,7,0,?,? ,research,open,-89.5072097778,21.0715026667
Mexican Parrot Snake,Leptophis mexicanus,February,5,0,32,32,research,open,-90.19599167,20.81909167
Central American Boa,Boa imperator,February,7,0,6,6,research,open,-90.262955,20.85403
Peninsula Stripeless Snake,Coniophanes meridanus,February,5,0,?,? ,research,open,-89.647038,20.894859
Pit Vipers,Crotalinae,February,2,0,1347,30508,needs_id,,-89.4820683244,20.08536519
Central American Boa,Boa imperator,June,7,0,122,122,research,open,-88.3107223958,21.1554863564
